,review_body,headline,rating_value
950,"Seit fast zwei Monaten warte ich auf eine Kontoeröffnung um dann mit einer E-Mail benachrichtigt zu werden dass ich anscheinend kein Interesse mehr an dem Konto hätte, weil ich die nötigen Unterlagen nicht eingereicht habe. Die Unterlagen wurden allerdings schon direkt ein Tag nachdem sie angefordert wurden, wie gewünscht, per Mail eingereicht. Nachdem ich mehrere Tage nichts gehört habe, wurde ich auch beim telefonischen Kundenservice abgewimmelt, dass ich doch auf eine Antwort per Mail warten solle.Wenn die ING es nicht schafft, in der internen Kommunikation, SENSIBLE Daten per Mail weiterzuverarbeiten, obwohl sie dies sogar bevorzugen, dann läuft hier definitiv was schief. Antworten per Mail, die eigentlich ein paar Tage dauern sollen laut eigener Aussage, werden ebenfalls garnicht bearbeitet.","Keine Kontoeröffnung, dank Nichtbearbeitung seitens ING",1
951,Für eine reine Onlinebank wurden meine Anliegen sehr zügig bearbeitet. Selbst bei einem Anruf in der Hotline wartet man nicht lange.Alles relevante kommt per Mail und/oder in die Postbox. ,Gute Onlinebank,5
952,"Gerade für ältere Personen ist eine ruhige, klare und verständliche Begleitung sehr hilfreich. Heute hat Ihr Mitarbeiter JH mich auf dieser Weise durch ein für mich unübersichtliches Verfahren gelotst! Vielen Dank nochmals. ",Super geholfen! ,5
953,"Die Bandansagenführung ist etwas nervig und es dauert bis man an einen Kundendienstmitarbeiter gelangt. Wenn mann aber erst mit einem Mitarbeiter verbunden wurde, wird man immer nett, höflich und hilfsbereit bedient, wie eben meine Ansprechpartnerin. Besten Dank dafür ",Die Bandansagenführung ist etwas nervig…,4
954,"Bin jetzt seit 8 Jahren Kunde bei der ING (Giro + Tagesgeld + Depot) und muss sagen, dass sich der Service seitdem deutlich verschlechtert hat. Auf E-Mails wird sehr spät geantwortet, meist erst 48h bis 72h Stunden später. Meistens erhält man nur einen Einzeiler was einem das Gefühl vermittelt weggeschoben zu werden. Die Rückfrage benötigt dann wieder 48h bis 72h Stunden und kommt ebenfalls pampig. Ab und an, erhält man auch ein vernünftiges Schreiben in sein Postfach zu einer Anfrage. Der Telefonsupport ist mittlerweile ein Witz, konnte man noch vor einigen Jahren innerhalb von 10 Minuten mit einem Mitarbeiter sprechen, der kompetent und höflich war, so hat man nun 30 Minuten das gedudel bevor ein (zumindest in meinen letzten Fällen) überforderter Mitarbeiter antwortet. Insbesondere bei Fachfragen zum Depot.Der Grund für meine negative Bewertung  ist aber das EXTRA Konto, was mit quartalweise Zinsen von ca. 0,75% (08/25) ein Witz ist. Dafür zahlt man jetzt 1,49€ für eine Girocard im Monat und die Auslandsentgelte wurden ebenfalls drastisch angehoben. Heißt man benötigt eine zusätzliche Karte um übermäßige Gebühren zu umgehen. Eine echte Kreditkarte wird auch nicht angeboten. Je älter man wird und je höher die Anforderungen umso mehr merkt man, dass man hier an seine Grenze kommt. Ich bin aktuell auf der Suche nach einem, bzw. zwei besseren Dienstleistern. Wer es bequem mag, alles auf einen Blick möchte, ausschließlich im EURO Währungsraum unterwegs ist, nur einen ETF Sparplan haben will und mit niedrigen Zinsen leben kann, ist hier dennoch sehr gut bedient.  ","An Langzeitkunden, ein Wechsel kann sich lohnen!",2
955,"Freundlich, kompetent, zielorientiert und sehr geduldig bei der Problembehebung.",Kompetent,5
956,"Am Wochenende wollte ich in meinem Wohnort bei einer fremden Bankfiliale (der Volksbank) Bargeld abheben, jedoch wurde die Kreditkarte der ING von Vornherein ausgeschlossen und vom Automaten nicht angenommen. Da ich zeitnah das Bargeld benötigte, habe ich letztlich mit der Girocard Geld abgehoben. Es gab jedoch nicht, wie üblich, einen Hinweis zur Gebührenerhebung der Fremdbank und erst bei Durchsicht meiner Kontauszüge ist mir die Abbuchung aufgefallen. Ich habe daraufhin mit einem sehr freundlichen Mitarbeiter der ING telefoniert, der mich über solche Mängel an Hinweisen auf den Automaten aufgeklärt hat, mir fürs nächste Mal hilfreiche Tipps mitgegeben hat. ",Am Wochenende wollte ich in meinem…,5
957,"Aus meiner heutigen Erfahrung kann ich mich nur bedanken, dass ich eine so freundliche, geduldige und kompetente Mitarbeiterin am Telefon hatte.Ich bin schon etwas älter und hatte tatsächlich ein Problem die App zu installieren. Mit viel Geduld und Kompetenz ist es dann tatsächlich gelungen.Ich muss dazu sagen, dass ich es vorher schon über einen längeren Zeitraum (Stunden) selbst versucht hatte und immer wieder irgenwo hängengeblieben bin.Die zwischenzeitlich aufgetauchten Fragen über Fachbegriffe oder weiterführende Links wurden problemlos beantwortet. Deswegen ein herzliches und uneingeschränktes Dankeschön an diese Mitarbeiterin. ","Freundlichkeit, Geduld, Mitgefühl und Kompetenz.",5
958,"Sehr hoefliche Mitarbeiterin, sachlich und mit Wissen war eine bereicherung fuer meine fragen.Respekt ",Sehr hoefliche Mitarbeiterin,5
959,"Wir sind seit 2017 Kunden der ING und haben all unsere Konten – Giro, Extra und Depot – ausschließlich hier geführt. Meine Frau und ich haben uns bewusst für die ING entschieden und uns als treue Stammkunden verstanden. Umso enttäuschender sind die Erfahrungen, die wir in letzter Zeit machen mussten.Bei einer Kreditanfrage (Jahr 2023) im Zusammenhang mit unserem Hausbau kam eine sofortige Absage – und das trotz bester Schufa-Werte und stabiler finanzieller Lage. Im Jahr 2025 haben wir wegen einer Fahrzeug-Restschuld erneut einen Kredit beantragt. Wieder das gleiche Ergebnis: eine direkte Ablehnung, ohne nachvollziehbare Begründung.Wir sind promovierte, eingewanderte Fachkräfte, die sich längst in Deutschland eingebürgert haben. Beruflich sind wir etabliert und finanziell abgesichert. Gerade deshalb trifft uns diese wiederholte Ablehnung schwer. Wir haben das Gefühl, dass unser Migrationshintergrund dabei eine Rolle gespielt haben könnte – und allein dieser Gedanke ist für uns verletzend und enttäuschend.Nach so vielen Jahren Vertrauen und Loyalität fühlen wir uns von unserer Hausbank im Stich gelassen. Für uns steht fest: Wir werden die Bank wechseln. Eine Empfehlung für die ING können wir unter diesen Umständen nicht mehr geben.",Nach loyalen Jahren im Stich gelassen,1
960,"Ich müsste eigentlich 2 Bewertungen abgeben.1. Für die unmögliche Anrufschleife. Es ist einfach absolut zeitraubend um zu einem Mitarbeiter (Mensch) zu kommen, um eine ganz normale Frage beantwortet zu bekommen. Das gilt für Menschen, die nicht sicher sind oder wenig die Bank nutzen.2. Ich habe es aber geschafft eine Mitarbeiterin zu sprechen, indem Fall war es die Wartezeit in der Warteschleife wert. Ich trug mein Problem schon Monate mir herum. Ich musste mein neues Handy anmelden. Ich hatte in Abständen mehrere Versuche gestartet. Es gibt ja Videos und Ablaufpläne. Irgendwie  muss ich immer einen Fehlergemacht haben. Am 30.7 Abschaffung der Telebanking-Pin, wieder was Neues. Ich war am verzweifeln und habe überlegt die Bank zu wechseln. Aber die ING Bank Mitarbeiterin hat mich von der 1. Sekunde an aufgefangen und meine Verzweiflung gedämpft. Sie ist mit mir in einer absoluten Ruhe und Ausgeglichenheit den Weg der Einrichtung des neuen Gerätes gegangen!!!   Die Einrichtung war doch nicht so ohne. Danke der Bank, dass sie solche Mitarbeiter hat. Sie hat von sich aus, Hilfe-Tipps auch gegeben, die nicht gefragt hatte, weil ich das nicht so übersehen habe. Vielleicht empfindet, der eine oder andere, dass ein bisschen dick aufgetragen, aber so ist mein Empfinden für diese Aktion. Leider ist es schlimm, dass man oft einfach in der Luft bzw. am Telefon hängt und sinnlos wartet in allen Bereichen des Lebens. Liebe ING Bank Geschäftsführung vergesst nicht das ältere Semester. Wir brauchen ein wenig mehr Ünterstützung, sind dann aber bestimmt gute und dankbare Kunden.",Ich müsste eigentlich 2 Bewertungen…,4
961,Top Kundenservice !Riesen Problem innerhalb von 20 Minuten gelöst!Unkompliziert.Freindlich. Schnell.Wartezeit am Telefon unter 3 Minuten ,Top Kundenservice !,5
962,"Schnelle Bearbeitung von Fragen,  Kretitanfragen und Prüfungen. Gute Angebote für Geld Investitionen. Kontoeröffnung easy gemacht, alles Online, sehr übersichtlich, einfach und Verständlich. Gute Konto Gebühren.  ING Bank ist nur zu empfehlen. ",Schnelle Bearbeitung von Fragen,5
963,Nach einem Pishing Angriff erfolgte die Erstattung schnell und ohne Komplikationen. Vielen Dank an den Kundenservice!,Kundenservice ,5
964,"Ich habe mit der IngDiBa bisher nur gute Erfahrungen gemacht.Mit dem kompetenten und freundlichen Kundenservice, sogar bessere, als bei früheren Banken mit „persönlichem Service”.Auch mit Kontoführung, Karten und App bin ich durchaus sehr zufrieden.Absolute Empfehlung 👍🏻 ",Internet-Banking mit Kundenservice,5
965,"Heute hatte ich ein Problem mit Loginder Website meiner Bank. Es hat etwas gedauert bis ich eine Mitarbeiterin am Telefon hatte (etwa 10 Minuten, für meine Begriffe zu lang) Aber dann hatte ich großes Glück. Gleich zu Angang des Gesprächs habe ich die darauf hingewiesen, dass ich fast blind sei. Dann hatten wir ein tolles Gespräch. Ich hatte eine Mitarbeiterin die kompetent, sehr freundlich und ausgesprochen geduldig war. Die hat mein Problem schnell erkannt und sicher und geduldig mit mir gelöst. Sie war Spitze, musste Sie  mir doch 3 Geräten abwechselnd Anweisungen geben, was bei meiner schwachen Sehleistung nicht einfach war. Aber Sie hat es Bravorufs gemeistert. Hätte ich mal immer solch eine Hilfe. Mein Leben wäre einfacher. Ganz herzlichen Dank an einen Engel für dieses Gespräch und die damit verbundene Lösung. Toller Kundendienst einer engagierten Mitarbeiterin. Chapeau..",Login Problem,5
966,"Ich bin schon viele Jahre Kunde bei der ING. Zuerst mit dem Extra-Konto und dann auch mit dem Giro-Konto. Bin immer zufrieden, da die Kontoübersichten  sehr gut sind.Auch der Kundenservice funktioniert immer zu- friedenstellend. Kleiner Nachteil ist, wenn man telefonisch jemand erreichen will, muß man viel Zeit mitbringen.",alles,5
967,"War immer zufrieden mit der ING, aber wenn man ein Problem hat, heisst es nur da können wir nichts machen, das müssen sie online regeln und dann werden wohl unsere internen Kriterien dagegen sprechen. Keine Hilfestellung, das Problem zu lösen. Auch wenn man an dem Problem grundsätzlich selbst Schuld ist, finde ich die Gleichgültigkeit der Mitarbeiter erschreckend. Man konnte dort mit niemanden eine beidseitige Lösung finden",War immer zufrieden mit der ING,1
968,"Ich wurde sehr gut beraten, die AP führte mich durch den Datendschungel, mein Problem konnte innerhalb kurzer Zeit gelöst werden. ",Ich wurde sehr gut beraten,5
969,"Beste Beratung in freundlichem Ton, zielführend und eindeutige Antworten, gute Tipps...","Kompetent, Freundlich, schnelle Auffassung des Problems",5
970,"Ich habe mich für meine Baufinanzierung für die ING entschieden und bereue diese Entscheidung zutiefst. Der hohe bürokratische Aufwand der ING, die Unerreichbarkeit des Supports und die Herablassung derjenigen, die nach einer Stunde Wartezeit am Telefon antworten, sind unerträglich. Leider habe ich meinen Vertrag bereits unterschrieben, wünschte aber, ich hätte eine andere Bank gewählt. Ich würde sie niemandem empfehlen, der seine Zeit nicht mit endlosem Papierkram und Warten in den ING-Hotlines verbringen möchte.",Endlose Bürokratie und herablassender Kundenservice,1
971,"Ich hatte bei der ING im März 3025 Tagesgeld gemacht, dass 4 Monate lang 3% Zinsen geben sollte(Zins wurde schon vorher ohne Info herabgesetzt) habe ich mir mein Geld zurück überwiesen und wollte die Zinsen bekommen.  Geht nicht. Erst muss das Konto gelöscht werden. Tel. nicht erreichbar. Nach der 3.e-Mail-Erinnerung, dass ich das Konto gelöscht haben und endlich die Zinsen bekommen möchte, kam nun noch schriftlich, man braucht zur Kontolöschung meine Unterschrift.  So etwas gab es noch bei keiner Bank, bei der ich Tagesgeld angelegt hatte. Ich habe durchaus die online -banking-App und mein Referenzkonto ist hinterlegt. Wie hätte ich sonst das Geld auf mein Konto überweisen können. Komischerweise konnte ich gerade endlich in der App die Zinsen per Übw anfordern.  Davor ging das nie.Bin gespannt,  ob sie auf mein Konto überwiesen werden. Nie wieder ING",Ich hatte bei der ING im März 3025…,1
972,Ich bin schon seit ein paar Jahren bei der Ing und insgesamt mit der Bank sehr zufrieden. Die App ist einfach zu bedienen und übersichtlich. Die Erhöhung meines bestehenden Rahmenkredits lief schnell und reibungslos. Der Rahmenkredit der ING ist für mich unkompliziert und flexibel. Die Rückzahlung kann ich individuell anpassen und auch Sonderzahlungen sind jederzeit möglich.,Sehr zufrieden mit Rahmenkredit und Service der ING,5
973,"Seit einem Jahr Kunde. Alles läuft bestens. Leider bietet die Ing keine echte Kreditkarte, so dass wir hier noch auf andere Banken angewiesen sind. ",Alles top. Nur eine echte Kreditkarte fehlt ,5
974,"Guter zeitnaher Service, gute Depotführung und Strukturierung, immer wieder kundenfreundliche Neuerungen!Vielen Dank Jürgen Peters ",Gute Depotführung,5
975,"Verlässlich, schnell und sehr guter Service ",Verlässlich und schnell,5
976,"Das ist ""meine"" Bank:-) App einfach und gut zu bedienen, Kreditabwicklung  transparent und unkompliziert (Autokredit), Kommunikation läuft gut und respektvoll. Seit der Übertragung meiner Konten zur ING habe ich Freude, mich mit meinen Finanzen zu beschäftigen. Klar: Kosten steigen überall, hier wird es aber zumindest offen kommuniziert und ist im Vergleich immer noch mehr als akzeptabel. Freue mich auch nach vielen Jahren immer noch, gewechselt zu haben. ","Das ist ""meine"" Bank:-) ",4
977,"Alles super, Konto funktioniert wie es soll. Nur weniger Werbung und endlich Echtzeit-Überweisungen und Wero wäre cool.",Alles super,4
978,Ich bin schon seit etlichen Jahren bei der Ing und habe noch nie einen Grund zur Beanstandungen gehabt. Durch einen Umstand hatte ich von einem Händler eine Visa Gutschrift bezüglich einer Visa Zahlung bekommen. Leider ließ die Gutschrift auf mein Konto auf sich warten. Nach Kontaktaufnahme mit dem Service der Ing ließ sich das Problem lösen. Vielen Dank nochmal dafür. ,Guter Service ,5
979,"Gute telefonische Erreichbarkeit, Freundliches Gespräch  und schnelle schriftliche Antwort.",Gute telefonische Erreichbarkeit,5
980,"Es ist einfach und unkompliziert, Geld anzulegen,  obwohl ich gerne das persönliche Gespräch habe! ",Es ist einfach und unkompliziert,5
981,Betrugsversuch sofort rücküberwiesen und neue Visa Karte ausgestellt. ,Betrugsversuch sofort rücküberwiesen…,5
982,"War immer sehr zufrieden, alles hat problemlos funktioniert!!! Großes Lob!!Habe mein Konto aus privaten Gründen gelöscht, würde aber immer wieder gerne auf die ING zurückkommen. ",War immer sehr zufrieden,5
983,Perfekter Internetauftritt. Moderates Gebührenmodell. Stetige Bereitschaft.,Perfekter Internetauftritt,5
984,Alles funktioniert wie ich es haben möchte.,Alles funktioniert wie ich es haben…,5
985,Einfache Bedienung sehr guter Service schnelle Hilfe toller Anbieter ,Einfache Bedienung sehr guter Service…,5
986,"Nachdem wir auf ein Scheingeschäft hereingefallen waren, bekamen wir das Geld innerhalb weniger Tage zurück gebucht. ",Volle Unterstützung,5
987,Tolle  Bank 100% Empfehlenswert ⭐️ ⭐️⭐️⭐️⭐️,Tolle  Bank ,5
988,"Die ING ist meine Hausbank mit Girokonto, Tagegeld und Depot. Ich bin auch vollumfänglich zufrieden - bis auf ein Detail:Die Transaktionskosten bei Aktienkäufen bzw. -Verkäufen sind zu hoch. Die Kostenstruktur wirkt im Zeitalter von Neobrokern aus der Zeit gefallen. Wenn das Kostenniveau hier gesenkt wird, dann gibt es auch 5 Punkte! ","Super, aber Transaktionskosten zu hoch",4
989,Ich bin seit vielen Jahren ein sehr zufriedenerKunde.Die Zinsen auf Geldanlagen sind im Vergleich allerdings ziemlich dürftig.,Sehr zufrieden,5
990,Sehr gutes und übersichtliches Angebot an Produkten besonders die Abwicklung über die App ist einfach und schnell umzusetzen. ,Sehr gutes und übersichtliches Angebot…,5
991,"Seit Jahren Kunde mit Girokonto und zufrieden. Jetzt allerdings Baufinanzierung beantragt. Nach über 3 Wochen Bearbeitungszeit Ablehnung und Kontokündigung! Grund: Bargeldeinzahlung, um das Eigenkapital nachweisen zu können. Herkunft: Schenkung durch Großeltern mit Nachweis. Einwandfreier Herkunftsnachweis nicht akzeptiert. Während der langen Bearbeitungszeit sind Baufinanzierungszinsen um ein halbes Prozent gestiegen, daraus ergibt sich ein fünfstelliger Schaden über die Finanzierungslaufzeit. Selbst die Finanzierungsvermittler sind erschüttert über dieses Vorgehen.","Baufi abgelehnt, Konto gekündigt wegen Bargeldeinzahlung",1
992,"Ich bin seit mehreren Jahren bei der ING. Ich nutze Konto, Kredit (nur ok Zinsen) und Depot. Ich hatte und habe nie Probleme.Auch Depotüberträge haben immer sehr schnell geklappt (von und zur ING).Wer eine volldigitale Bank sucht, wo man zur Not einen Ansprechpartner ans Telefon bekommt, ist hier richtig (Bisher konnte ich alles ohne Telefon lösen).Ich habe die ING bereits mehreren Freunden empfohlen.",Seit mehreren Jahren zufrieden,5
993,Ich hatte heute ein Beratungsgespräch via Telefon und die Dame hat mich in allen Punkten super beraten und informiert. Sehr nettes Gespräch !!!,Ich hatte heute ein Beratungsgespräch…,5
994,"Der Kundenservice ist katastrophal. Bin ins Ausland gezogen und habe um ein Telefonat gebeten, um zu besprechen, ob zusätzliche Dokumente oder ähnliches bereitgestellt werden müssen. Seitdem komme ich nicht mehr in meine App rein und versuche schon seit 2 Monaten durch etliche Kontaktaufnahmen jemanden ans Telefon zu bekommen/ Infos per email zu erhalten aber auch das passiert nicht. Nichts außer automatische Antworten, die besagen „Rufen Sie uns an“ - soweit war ich auch schon danke, dafür müsste auch mal jemand abnehmen.Empfehle definitiv zu einer klassischen Bank zu gehen - da hat man idR zumindest einen festen Ansprechpartner und kann persönlich hingehen!",Der Kundenservice ist katastrophal,1
995,Alles unkompliziert und schnell,Alles unkompliziert und schnell,5
996,"Ich bin sehr zufrieden mit der ING, seit vielen Jahren bin ich schon Kunde, wie mein Sohn und auch mein Partner. ",Ich bin sehr zufrieden mit der ING,5
997,"Ich bin sehr zufrieden mit meiner Bank. Die App ist gut aufgebaut und daher gut zu bedienen. Einziger Wermutstropfen ist, dass die Zinsen auf dem Tagesgeldkonto, im Vergleich zu anderen Banken, sehr niedrig sind - das wäre zukünftig für mich ein Grund, einmal über einen Wechsel zu einer anderen Bank nachzudenken,",Aktuell (noch) sehr zufrieden,4
998,Meine Baufinanzierung ist vollkommen okay,Baufinanzierung ,5
999,"Im Gegensatz zu anderen deutschen Banken ist ING schon sehr komfortabel und die App inkl. Service für Geldautomatensuche usw. finde ich sehr parktisch und verständlich. Auch weltweit mit der Visa bezahlen ist schon sehr angenehm. Schon viele Jahre bei der ING und werde es auch bleiben, vorausgesetzt die Gebühren erhöhen sich nicht.",Praktisch und Verständlich,5
1000,App ist einfach zu bedienen und sehr übersichtlich und informativ. Der tel. Support ist auch schnell erreichbar und sehr kompetent.,App ist einfach zu bedienen und sehr informativ.,5
1001,Schnelle und einfaches Handling meiner Geld Angelegenheiten,Schnelle und einfaches Handling...,5
1002,"Sehr professionelle Hilfe am Telefon. Das Problem wurde gelöst. Alle Fragen wurden beantwortet und sehr  gut erklärt. Der Fehler lag an den Einstellungen, die ich gemacht hatte. Vielen DANK!",Probleme mit der VISA im Urlaub ,5
1003,"guten morgen, leider kann ich ihnen keine gute Bewertung geben. Ich saß jetzt 1 std. vergebens am Telefon und wollte mit einem Mitarbeiter sprechen.Meine Zugangsnummer wurde ixmal nicht angenommen.  Dann stimmen komischer weise tel-nr. nicht 069-505069 oder069 50500105 ,da ist nur der Anrufbeantworter dran. Ich hatte mich an den Angaben gehalten. Leider. Es gibt nunmal Persönliche Dinge.",guten morgen,1
1004,Das persönliche Gespräch war sehr hilfreich. Ich wurde Schritt für Schritt durch das Menü geführt. ,Das persönliche Gespräch war sehr angenehm ,5
1005,"Wir haben mit einem ING-Mitarbeiter telefoniert, da wir fragen zu einem Kredit hatten. Der gab uns eine patzige, maximalst unprofessionelle Antwort und sagte am Ende nur ""Tschüss"". Wir wechseln jetzt zur Sparkasse, da gibt es Filialen und generell viel bessere Kundenbetreuung. NIE WIEDER ING!!!",Wir haben mit einem ING-Mitarbeiter…,1
1006,Missbrauch der Kreditkarte wurde unkompliziert und schnell bearbeitet. Es konnte alles zu meinem Vorteil erledigt werden.,Missbrauch der Kreditkarte wurde…,5
1007,Allies super ,Allies super,5
1008,"Wir wollten für unsere Family-Card ein Online-Banking registrieren, aber bei einigen Schritten war es unklar. Ich habe es ausprobiert, doch die E-Mail mit dem Einmalpasswort kam nicht an. Also rief ich heute Morgen den Kundenservice an.Eine Mitarbeiterin nahm den Anruf entgegen. Die Kommunikation war sehr mühsam – alles, was sie mir sagte, wusste ich bereits, aber sie wollte mir nicht richtig zuhören. Ich sagte: „Könnten Sie bitte ein bisschen Geduld haben? Ich rufe ja an, weil ich es nicht genau weiß.“Stattdessen redete sie einfach an mir vorbei, behauptete, sie würde doch meine Fragen beantworten, und sprach in einem lauten, sehr ungeduldigen Ton.Das war der schlechteste Kundenservice überhaupt – ohne Konkurrenz.",Schwierige Kommunikation mit dem Kundenservice,1
1009,"Telefonisch schwer zu erreichen, Probleme wurde bisher gelöst",Klärung,5
1010,Sehr guter Service!,Sehr guter Service!,5
1011,"Ich bin schon viele Jahre bei der ING und sehr zufrieden. Sie könnte noch mehr auf nachhaltige Anlagen setzen und dies auch viel offener kommunizieren, da reicht mir das Girokonto Future nicht aus. Aber alles andere klappt sehr gut, die App finde ich auch sehr übersichtlich und gelungen. Bei der Zinspolitik der Bank könnte man Bestandskunden etwas großzügiger bedienen, da setzt man zu schnell niedrigere Zinsen um und zu langsam höhere Zinsen. Neukunden lockt man mit Angeboten, was ich einerseits verstehe, andererseits würde man selbst gerne daran teilhaben.",Fühle mich gut aufgehoben bei der ING,4
1012,"Menschen die über 70 Jahre sind und kurzfristig 15000 Euro brauchen werden abgelehnt ,obwohl Geld auf dem Konto zur Verfügung steht. ",Menschen die über 70 Jahre sind und…,5
1013,"Zuverlässig,übersichtlich u. unkompliziert. ","Zuverlässig,übersichtlich u",5
1014,"Wir sind einem Betrugsunternehmen in die Hände gefallen. Die Abbuchung konnten wir nicht mehr rückgängig machen. Daraufhin haben wir der ING eine Mail zukommen lassen. Wir hatten keine Unterlagen von dem Unternehmen, nur die Abbuchung. Durch Zufall haben wir einige Tage später erneut im Internet die Waren von diesem Unternehmen gesehen und den Link sowie das Bild kopiert und der ING zugeschickt. Die ING hat sich eingesetzt, dass wir unser Geld wieder zurückbekommen. Ich hoffe, dass alles so funktioniert und wir unbeschadet aus der Sache rauskommen. Zunächst einmal Danke für den Einsatz von der ING. Außerdem haben wir auch gelernt, nicht so leichtgläubig etwas im Internet zu bestellen, da u.a. Logos und Daten von anderen Unternehmen missbräuchlich genutzt wurden.","ING hat uns geholfen, unser Geld von einer Betrugsfirma zurückzubekommen",5
1015,"Ich finde es schade, dass die ING das Thema kostenfreie Echtzeitüberweisung bis zuletzt schiebt. Die ING hat sich in den letzten Jahren in Bezug auf Leistungen rundum das Thema Girokonto nicht mehr sehr stark reformiert. Dennoch gilt die ING zu meinem klaren Hausbank Sieger auch wenn die EC Karte mtl. Geld kostet. (Schon seit Jahren abbestellt)  Auch das Thema Verzinsung ist fast angepasst an die Banken vor Ort was ansich immer ein Highlight war. ",Stabiles Konto ohne besondere Highlights,4
1016,ich komme gut mit der App klar,ich komme gut mit der App klar,4
1017,"Bin schon seit vielen Jahren Kunde und stets auch so behandelt worden. Der Webauftritt und die Bankseite sind ausführlich, übersichtlich und leicht zu handhaben.Kann ich nur empfehlen.",Bester Kundenservice,5
1018,"Bin schon seit Jahren bei der Ing und total begeistert, habe auch meine Familie zur ing geholt, weil die Konditionen einfach topp sind. ",Bin schon seit Jahren bei der Ing und…,5
1019,"Beste Bank! Was alles geboten wird: Girokonto, Extra Konto, Direkt Depot, Smart Invest, Kleingeld plus sparen, Bank Karte, Visa Karte. Mich ärgert, dass ich nicht schon sehr viel früher zur ING gewechselt bin und die vielfältigen Möglichkeiten zum Sparen und Investieren nicht nutzen konnte.",Beste Bank!,5
1020,"Die sehr gute Erreichbarkeit der Services.Immer freundliche Ansprechpartner, wenn ich mal einen benötige. Sehr gute FAQ‘s.Vollumfängliches Angebot.",ING DiBa - wirklich DIE Bank,5
1021,Ich bin rundum zufrieden. Es gibt auch keine nervigen Anrufe oder Mails.,Rundum zufrieden,5
1022,Für mich die beste Bank die ich in meinem Leben bis jetzt hatte. Es waren 5 an der Zahl und mit keiner war ich so zufrieden wie mit der ING. Unkopliziert und auch einfach in der Handhabung. Fühle mich auch relativ sicher im digitalen Raum. Kredit Vergabe unkopliziert und sehr transparent. ,Für mich die beste Bank die ich in…,5
1023,"Die Kontoführung bei der ING ist an sich ziemlich gut, dafür ist die Kunden Kommunikation Grottig. Ich habe vor 12 Tagen ein Kredit für ein Auto angefragt. Habe für diesen Kredit eine Verschlüsselte PDF per Mail bekommen. Das Password hätte per SMS kommen sollen. Kam nicht an. In der Mail von der PDF stand aber  auch, wenn die SMS nicht ankommt solle man info@ anschreiben um das Passwort Postalisch zu bekommen..... 12 Tage später bekomme ich als Antwort auf meine Mail ein ""haben Sie Ihr Handy schonmal aus und wieder eingeschalten"". Sich sowas nach 12 Tagen zu erdreisten zu fragen ist der höhe punkt. Und auf meine Antwort, das ich dies in der Zwischen Zeit mehrfach getan hätte und das Passwort gerne Postalische hätte, werde ich wohl noch mal 12 Tage warten dürfen. Da bin ich mir echt am überlegen ob ich bei der ING als Bank richtig aufgehoben bin.",Wo Kommunikation ein Fremdwort ist.,1
1024,"Ich habe ein Extrakonto bei der Bank und die Auszahlungen sind fast sofort auf meinem Girokonto. Sollte ich jemals wechseln, würde ich zur ING-DiBa gehen.",Ich habe ein Extrakonto bei der Bank…,5
1025,"Mitarbeiter war sehr Kompetent und Hilfsbereit. Webseite und Zugang funktioniren sehr gut. Leider hat es über 30 Minuten gedauert, einen Mitarbeiter zu bekommen. ",Mitarbeiter war sehr Kompetent,4
1026,"Kunden,- und Bedienerfreundlich,Preiswert und unbürokratisch.Anlegerfreundlich,gerne mehr Sparpläne vonz.B VanEck und Spdr😎👍",Endlich eine Bank für Alles👏,5
1027,Kundenservice war gut erreichbar. Alle Fragen und Anliegen wurden geklärt. Sehr kompetenter Mitarbeiter.Bin sehr zufrieden mit dem Kundenservice. ,Kendenservice ist gut erreichbar,5
1028,"Ich bin schon viele Jahre bei der ING und immer sehr zufrieden. Natürlich wurden Änderungen, z.B. keine 24/7-Hotline mehr, EC-/Visacard kostenpflichtig eingeführt.Trotzdem im Vergleich zu anderen Banken bekam ich immer eine kompetente Beratung und Umsetzung meiner Wünsche. Auch die Wartezeit am Telefon ist durchaus kürzer als üblich.Es wird auch nichts aufgeschwatzt… Danke für die tolle kundenorientierte Arbeit.",Immernoch sehr zufrieden - kompetente Beratung,5
1029,Die App bietet alles was manals Bankkunde benötigt. GuterService.,Läuft alles Rund. ,5
1030,"Seit rund 20 Jahren bin ich Kunde der ing.de und habe ausschließlich positive Erfahrungen gemacht. Auch als ich mein Depot von einer anderen Bank zur Ing übertrug, lief alles absolut problemlos. Den Support habe ich schon lange nicht mehr benötigt, wenn ich aber welchen gebraucht habe, bekam ich ihn stets freundlich, schnell und kompetent.Alles in allem: prima Bank!",Prima Bank!,5
1031,"Das gesamt Paket gefällt mir. Es ist alles gut erklärt, dass man selbstständig arbeiten kann ",Das gesamt Paket gefällt mir,5
1032,Perfekt seit vielen Jahren ,Perfekt seit vielen Jahren,5
1033,Top Bank Top Kundenservice ,Top Bank ,5
1034,Rundum zufrieden!alles verständlich und kundenorientiert!,Rundum zufrieden!alles verständlich und…,5
1035,Einfache Handhabung und sehr übersichtlicher Aufbau der Webseite.,Einfache Handhabung und sehr…,5
1036,"Die ING ist eine sehr gute Bank.Ob online im Web oder in der App, alles funktioniert einwandfrei. Ja, die Zinsen auf dem ""Sparbuch"" sind etwas mager, aber man kann nicht alles haben. ",Die ING ist eine sehr gute Bank.,5
